标题,输出图片 (Output),输入说明 (Input),提示词 (Prompt)
 星穹铁道战斗画面,nano039.jpg,无,一张高清4K截图，展示了《崩坏3：星之轨道》PC版的游戏画面，图中联动角色为芙莉莲。她正在战斗中，用法杖施放佐特拉克。
 根据模切线折叠成盒子,nano040.jpg,无,将模切线组装成一个完美折叠的3D盒子，确保面板位置精准、边缘清晰、文字无变形。所有图案均需与模切线上的印刷完全一致。在简约的高端摄影棚环境中，以柔和的中性背景、漫射光和微妙的阴影渲染盒子，无需任何额外道具。以精致的四分之三角度展示盒子竖立的形态。呈现超逼真的细节、真实的色彩、哑光纸板质感、清晰的折痕，以及高端的编辑美感。
 拍立得照片,nano041.jpg,** 需上传一张人物参考图片,"请使用附图中的人物。

姓名：____。

这张“instax mini”（Cheki）相机放置在桌面上的照片已生成，完美还原了附图中人物的发型、服装和风格。

[胶片格式规格]

整张照片为竖版矩形（86mm x 54mm）。

照片四周环绕着白色边框，顶部、左侧和右侧边框较窄，底部边框较宽（约为顶部边框的两倍），精确再现了instax mini的独特格式。

图像区域为竖版（4:3比例）。

[注释规格（由AI根据附图中人物的性格推断）]

以下涂鸦使用马克笔手写，颜色与附图中人物的性格相符。

1. 顶部窄边：一行根据人物性格推断的日语信息。

2. 底部宽阔的留白：照片的创作日期（例如，2025.11.29）以及人物流畅的手写签名。

3. 照片主体部分：点缀着可爱的涂鸦，例如爱心、星星、闪光和表情符号，但并未遮挡面部。

[人物] 照片主体位于画面中心，拍摄对象从头部到膝盖。人物在白墙前摆出一个随意的、类似偶像的姿势（姿势是根据人物的外貌推断的）。高对比度、略微泛白的胶片质感表明照片是用闪光灯直射拍摄的。

[纹理和背景]

照片放置在白色桌面上，投射出自然的阴影。"
垂直切片失真特效,nano042.jpg,无,"{

""style"": {

""name"": ""vertical_slice_glitch"",

""description"": ""采用垂直切片扭曲、故障分裂和模拟风格颗粒的高级时尚人像。"",

""elements"": {

""subject"": {

""type"": ""fashion_portrait"",

""framing"": ""tight_face_centered"",

""expression"": ""neutral_or_intense"",

""lighting"": ""soft_diffused_studio"",

""skin_texture"": ""realistic_with_blush"",

""wardrobe"": ""minimal_solid_colors""

},

""distortion"": {

""effect"": ""vertical_slit_scan"",

""slice_count"": ""40-80"",

""slice_thickness"": ""thin"",

""displacement_amount"": ""medium"",

""alignment"": ""center_weighted"",

""smooth_blend_edges"": false,

""random_offset"": true,

""方向"": ""垂直""

},

""纹理"": {

""颗粒"": ""中等偏重"",

""噪点"": ""精细数码噪点"",

""压缩伪影"": ""细微"",

""胶片"": ""哑光时尚编辑""

},

""调色板"": {

""背景"": ""#F2F2F2"",

""色调"": ""柔和中性"",

""强调"": ""深红色"",

""对比度"": ""中高""

},

""相机"": {

""镜头"": ""85mm人像"",

""景深"": ""浅"",

""对焦"": ""眼睛"",

""角度"": ""正面""

}
}

},

""输出"": {
""格式"": ""高时尚故障人像"",

""宽高比"": ""3:4"",

""分辨率"": ""高""

}
}"
 图像UV展开,nano043.jpg,** 需上传一张参考图片,"展开图中所示3D模型的UV贴图。

图中约三分之一的区域应为参考视图，显示3D模型本身。剩余区域应包含头部、身体和四肢的UV布局。展开3D模型的表面，并将其展平为一个0-1的二维UV空间。"
 鱼眼广角自拍,nano044.jpg,** 需上传一张参考图片,"一张超逼真的鱼眼广角自拍，使用老式35mm鱼眼镜头拍摄，产生严重的桶形畸变。照片中人物手中没有相机或手机。

主体与动作：一张特写、略带畸变的合影，[上传图片中的人物]正在与[人物]自拍。每个人都在做着夸张的表情，微微眯着眼睛，因为闪光灯的照射。

光线与质感：强烈的直射闪光灯在人物背后形成明显的阴影。真实的胶片颗粒感，边缘略微的动态模糊，以及色差。这张照片看起来像是抓拍的业余快照，仿佛是在混乱的幕后瞬间拍摄的，而不是影棚照片。"
 和电影角色合照,nano045.jpg,** 需上传一张参考图片,"我在[电影名称]片场和[电影角色]自拍。

请保持人物与参考图片完全一致，包括面部特征、骨骼结构、肤色、表情、姿势和外貌，100%相同。1:1宽高比，4K分辨率。"
 伪造抖音截图,nano046.jpg,无,帮我生成一帧抖音竖屏短视频截图，内容是厨房帝王蟹下锅处理，厨师面对镜头展示食材和案板上成套的厨具
 3D 微缩等距房间模型,nano047.jpg,无,"一个等距3D立方体微缩房间（浅切面真立方体；所有物品均严格包含在立方体内）。房间描述：[房间描述：详细描述主题、家具、特定杂物、墙面装饰和关键物品]。

人物：Q版/手办风格——[在此处插入您上传照片中人物的描述]。人物动作：[例如，坐在椅子上打字、站着做饭、弹吉他]，表情：[例如，专注、快乐、微笑]。人物材质看起来像是哑光PVC，头部较大，身体较小。光照：[氛围名称]：[光源：例如，霓虹蓝光、暖日光、金色灯光]；逼真的反射和彩色阴影。视角：略微抬高的等距四分之三视角，立方体正面边缘居中；没有任何元素突出于立方体之外。照片级材质，细节丰富；中性背景。画面细节丰富，构图清晰；无水印。"
卫星图像生成等距场景图像,nano048.jpg,** 需上传一张google卫星视角参考图片,"# 角色定义

您是一位地理空间现实架构师。您的目标是将二维谷歌卫星截图转换为超逼真、高密度的等距数字孪生。

# 核心能力

卫星图像到等距数字孪生的转换：

1. 单层现实：与历史数据堆栈不同，这是一个当前状态快照。您必须捕捉用户卫星图像中显示的*精确*布局、道路网络和建筑密度。

2. 区域推断：基于视觉线索（屋顶颜色、道路标记、植被）和任何提供的坐标，您必须推断建筑风格（例如，东京密集住宅区、美国郊区、欧洲老城区），并将其应用于三维结构。

3. 无框架沉浸式体验： 严格禁止使用任何地图、界面元素、图钉和平面纹理。最终效果必须像“模拟城市”的高端模型或栩栩如生的微缩世界。

# 工作流程（内部思路）

当提供[卫星图像]和[坐标/位置名称]时：

1. 分析网格： 识别图像中的主要道路干线和街区形状。

2. 拉伸体积： 在脑海中将建筑物轮廓“拉伸”成三维形状。根据图像中的阴影长度估算高度（摩天大楼与低层建筑）。

3. 纹理映射： 识别主要颜色（例如，灰色混凝土、红色瓦片屋顶、绿色树冠），并将其应用到提示中。

# 输出格式（最终提示）

您将输出一个针对等距现实重建优化的提示块：

---

提示结构：

[1. 构图：空间锚点]

无边框、边缘到边缘的高角度等距视图，[插入检测到的区域样式]。该构图是对提供的卫星地形的直接三维重建。视图展现了单一、连贯的时间瞬间，捕捉了该地点熙熙攘攘的现实景象。地面已完全纹理化，移除了所有抽象的底板。

[2. 建筑轮廓]

[分析卫星图像并填写此部分]：

* 布局： [描述具体的道路模式：例如，严格的网格状道路、蜿蜒的死胡同或有机的河岸道路]。

* 密度： [描述建筑密度：例如，密集的贫民窟式建筑、稀疏的带泳池别墅，或高耸的钢筋水泥丛林]。

* 关键建筑： [识别地图中出现的特定地标：例如，带跑道的学校、大型环岛、特定桥梁或公园中心]。

* 风格： [描述建筑风格：例如，昭和时代的日本房屋、奥斯曼风格的巴黎街区或粗野主义的苏联公寓]。

[3. 生活与氛围]

通过生活细节增强真实感：

* 街道层面： 与道路方向一致的微型汽车、清晰可见的人行横道和路灯。

* 屋顶层面： 空调机组、屋顶花园、水箱或太阳能电池板（视地区而定）。

* 自然环境： 街道两旁绿树成荫，植被色彩鲜明（热带的翠绿与温带秋季的苍翠）。

[4. 渲染规格]

等距投影，立体模型美学，但比例超写实。 移轴摄影效果（模糊远处边缘），壮丽的阳光投射出清晰的阴影。虚幻引擎 5 渲染，黏土动画纹理与照片级真实感相结合，8K 分辨率。 -- 无用户界面、地图标记、平面地图、文本、边框、框架 -- 宽高比 16:9 -- 样式化 250 -- 版本 6.0"
 赛博朋克风格的人物时尚大片,nano049.jpg,无,这是一组赛博朋克风格的时尚大片，主角是一位酷劲十足、个性鲜明的二十出头年轻女性。她留着齐下巴的短波波头，直发略带纹理，刘海随意，戴着一副厚厚的黑色太阳镜，左手拿着一杯插着吸管的冰咖啡/巧克力，右手拿着半个吃剩的三明治/糕点。她身穿一件宽松的白色T恤，袖子是锈红色插肩袖，胸前印着小小的品牌标识，下身随意地塞进一条黑色宽松的工装牛仔裤里，裤子上有白色缝线细节，脚踩一双酒红色乐福鞋，脖子上戴着一条金色吊坠项链。照片捕捉到她迈着大步的全身姿态，放松的姿势，略微侧身，表情随意而淡漠，头部微微侧转，目光向下，定格在城市广场的半步之中。广场地面铺着灰色的水泥和瓷砖，沐浴在明媚的午后金色阳光下，形成鲜明的对比阴影，左侧投射出长长的斜影。照片采用8K超高清画质，画面逼真，宽高比为4:5，分辨率为1440x1920，风格为原始照片级高保真，色彩饱满，以冷色调的都市色调和鲜艳的红色UI元素点缀，营造出高对比度的日光效果。画面构图包含一个全身主镜头，并以碎片化的布局呈现多个放大特写（面部/饮料、躯干、裤腿），叠加了红色边界框、遥测数据和数字HUD叠加层等战术监控界面元素，模拟出高端监控录像的“老大哥”式监视氛围，同时融入了真实都市纪实和清晰的日光写实风格，并结合了数字图形设计元素。背景是清晰聚焦的混凝土城市景观，阴影线条强烈，光线来自高角度的自然强光，在明亮的路面上投射出深邃的黑色阴影，并带有数字颗粒感和扫描线瑕疵。色彩分级采用中性都市灰、白色、锈红色、牛仔黑和醒目的亮深红色 UI 元素，后期处理包括高锐化和红色矢量图形叠加，例如数字“19 5 3 21 18 9 20 25”、文本“CCWW”、“TR521”、时间码“18/02”以及带有井号“#83575//”和“#25747//”的边界框。整体主题是城市监控、Y2K 街头服饰、战术数据可视化、坦率的时尚瞬间和反乌托邦时尚，营造出一种冷静疏离的观察、都市的漫不经心、混乱的数据流和侵犯隐私的时尚感。照片采用 35 毫米至 50 毫米镜头，以高角度监控视角拍摄，并使用了深焦效果。照片布局为一张主图加三张局部细节图，并用红色战术线条和十字线连接。
 四季场景,nano050.jpg,无,"这幅超写实数字插画描绘了{场景}，以连续的画面展现四季更迭。画面从左至右流畅过渡，自然展现了冬、春、夏、秋的景象。

左侧是寒冷的冬季雪景，逐渐融化成春天的嫩绿花蕾，随后过渡到夏季郁郁葱葱的植被和明媚的阳光，最终在最右侧过渡到秋季的金黄、橙红和绚丽色彩。

四季之间没有明显的界限；天气、光线和植被完美融合，构成一幅和谐统一的全景图。画面细节丰富，象征着时间的流逝，采用电影级光照，8K分辨率，纹理高度精细。 --ar 4:3

----

场景：从历史悠久的上海外滩眺望黄浦江对岸充满未来感的陆家嘴

---- 提示 ----

{场景}的超写实数字插画，以连续的画面呈现，展现四季更迭。画面从左至右自然过渡：冬、春、夏、秋。

左侧展现寒冷的冬季雪景，逐渐融化成春暖花开的嫩芽，接着过渡到夏季郁郁葱葱的植被和明媚的阳光，最终在最右侧过渡到秋季的金黄、橙红和绚丽色彩。

四季之间没有明显的界限；天气、光线和植被完美融合，构成一幅和谐统一的全景图。细节丰富，象征着时间的流逝，采用电影级光照，8K分辨率，纹理高度精细。 --ar 4:3

----

场景：从历史悠久的上海外滩眺望黄浦江对岸充满未来感的陆家嘴区。"
人物纸艺剪纸,nano051.jpg,无,"[角色] = 路飞

木质书桌上摆着一件充满奇趣的手工纸艺作品：将手绘的卡通 [角色] 从纸上剪下，折叠成一个立体的站立小人偶。[角色] [姿势]。在它身旁的纸面上，不仅有那个留下的空白剪影，还手写着一句它的 [经典台词]。

画面比例：1080 x 1080"
 睡眠报告海报,nano052.jpg,** 需上传一张睡眠质量数据截图,"可爱的睡眠报告海报（Sleep Report Poster）

任务： 海报设计、睡眠数据可视化艺术。 第一步： 分析 [上传的 Apple Watch 睡眠数据截图]，提取清醒、REM、核心、深睡四个阶段的时长比例

画面描述： 画面主体是一个立体的、垂直长方体透明玻璃容器（类似精致的奖杯底座或地质采样管），放置在深邃的纯色背景中。 容器内部由四种不同颜色的微缩景观层层堆叠而成，每一层的垂直厚度必须根据[上传数据]的时长比例来生成（例如：如果核心睡眠时间最长，那么蓝色的层就应该最厚）。

景观分层细节（从上到下）：
顶层（极薄或根据清醒时长）：清醒层 (Wake - 橙色)
表现为干燥的沙漠地表或噪点纹理，象征着意识的活跃与纷乱。
第二层：快速眼动层 (REM - 浅蓝色)
表现为漂浮着云朵、气泡或超现实物体的梦幻天空层。材质通透轻盈。
第三层：核心睡眠层 (Core - 深蓝色)
表现为柔软舒适的海洋球堆积层或层叠的羽绒材质，给人平稳安定的感觉。
底层：深度睡眠层 (Deep - 紫罗兰色)
表现为坚硬、厚重的水晶矿洞或发光的能量块堆叠。这是地基，越厚代表睡眠质量越好。

主角（用户形象）： 在玻璃容器的最顶端边缘（瓶口处），坐着一个Q版 3D 小人。
动作： 小人的双腿自然垂下，悠闲地坐在上面。
状态： 如果睡眠分数高，小人头顶可以有一个充能满格的绿色电池图标，表情惬意；如果分数低，小人可以是垂头丧气的样子，或者抱着一杯咖啡。
装备： 小人手腕上必须佩戴着一只微缩的智能手表。

光影与渲染： 使用 C4D 或 Blender 风格的 3D 渲染。强调玻璃容器的折射率和各层材质的物理质感（沙子、云朵、海洋球、水晶）。背景为高级黑或深夜蓝，打光重点突出容器内部的通透感和底层的微光。

底部排版： 简洁的数据展示。

主标题：昨晚的睡眠地质层 (My Sleep Strata)

核心数据：总睡眠时长 | 睡眠评分

图例：用四个对应颜色的小圆点标注每一层的名称和具体时长。"
 插画变手办,nano053.jpg,** 需上传一张参考图片作为生成手办的对象,将这张照片变成角色手办。在它后面放置一个印有角色图像的盒子，盒子上有一台电脑显示Blender建模过程。在盒子前面添加一个圆形塑料底座，角色手办站在上面。如果可能的话，将场景设置在室内
 根据地图箭头生成地面视角图片,nano054.jpg,** 需要上传一张包含红色箭头的google maps图像,"画出红色箭头看到的内容
/
从红色圆圈沿箭头方向画出真实世界的视角"
 真实世界的AR信息化,nano055.jpg,** 需上传一张参考图像,你是一个基于位置的AR体验生成器。在这张图像中突出显示[兴趣点]并标注相关信息
 分离出3D建筑/制作等距模型,nano056.jpg,** 需上传一张包含对应物体的图像,将图像制作成白天和等距视图[仅限建筑]
不同时代自己的照片,nano057.jpg,** 需上传一张人物的照片,"将角色的风格改为[1970]年代的经典[男性]风格

添加[长卷发]，
[长胡子]，
将背景改为标志性的[加州夏季风景]

不要改变角色的面部"
多参考图像生成,nano058.jpg,** 需上传多个参考图,一个模特摆姿势靠在粉色宝马车上。她穿着以下物品，场景背景是浅灰色。绿色外星人是一个钥匙扣，挂在粉色手提包上。模特肩上还有一只粉色鹦鹉。旁边坐着一只戴着粉色项圈和金色耳机的哈巴狗
自动修图,nano059.jpg,** 需上传一张需要进行修正的图像,这张照片很无聊很平淡。增强它！增加对比度，提升色彩，改善光线使其更丰富，你可以裁剪和删除影响构图的细节
手绘图控制多角色姿态,nano060.jpg,** 需上传角色的图像以及手绘草图,让这两个角色使用图3的姿势进行战斗。添加适当的视觉背景和场景互动，生成图像比例为16:9
跨视角图像生成,nano061.jpg,** 需上传一张地面上拍摄的照片,将照片转换为俯视角度并标记摄影师的位置
定制人物贴纸,nano062.jpg,** 需上传一张贴纸参考图以及一张人物图像,帮我将角色变成类似图2的白色轮廓贴纸。角色需要转换成网页插画风格，并添加一个描述图1的俏皮白色轮廓短语
动漫转真人Coser,nano063.jpg,** 需上传一张插画图像,生成一个女孩cosplay这张插画的照片，背景设置在Comiket
 生成角色设定,nano064.jpg,** 需上传一张角色参考图像,"为我生成人物的角色设定（Character Design）

比例设定（不同身高对比、头身比等）

三视图（正面、侧面、背面）

表情设定（Expression Sheet） → 就是你发的那种图

动作设定（Pose Sheet） → 各种常见姿势

服装设定（Costume Design）"
 色卡线稿上色,nano065.jpg,** 需上传一张线稿图和一张色卡图,准确使用图2色卡为图1人物上色
 文章信息图,nano066.jpg,** 需上传一段博客/文章,"为文章内容生成信息图
要求：
1. 将内容翻译成英文，并提炼文章的关键信息
2. 图中内容保持精简，只保留大标题
3. 图中文字采用英文
4. 加上丰富可爱的卡通人物和元素"
 更换多种发型,nano067.jpg,** 需上传一张需要更换发型的人像图片,以九宫格的方式生成这个人不同发型的头像
 模型标注讲解图,nano068.jpg,无,绘制[3D人体器官模型展示示例心脏]用于学术展示，进行标注讲解，适用于展示其原理和[每个器官]的功能，非常逼真，高度还原，精细度非常细致的设计
 定制大理石雕塑,nano069.jpg,** 需上传一张参考图像,一张超详细的图像中主体雕塑的写实图像，由闪亮的大理石制成。雕塑应展示光滑反光的大理石表面，强调其光泽和艺术工艺。设计优雅，突出大理石的美丽和深度。图像中的光线应增强雕塑的轮廓和纹理，创造出视觉上令人惊叹和迷人的效果
 根据食材做菜,nano070.jpg,** 需上传一张带有多种食材的照片,用这些食材为我做一顿美味的午餐，放在盘子里，盘子的特写视图，移除其他盘子和食材
 数学题推理,nano071.jpg,** 需上传一道数学类的题目,根据问题将问题的答案写在对应的位置上
 旧照片上色,nano072.jpg,** 需上传一张老旧、需要修复的照片,修复并为这张照片上色
 OOTD穿搭,nano073.jpg,** 需上传一张人物图片和服装图片,选择图1中的人，让他们穿上图2中的所有服装和配饰。在户外拍摄一系列写实的OOTD风格照片，使用自然光线，时尚的街头风格，清晰的全身镜头。保持图1中人物的身份和姿势，但以连贯时尚的方式展示图2中的完整服装和配饰
 人物换衣,nano074.jpg,** 需上传人物图像和衣服图像,将输入图像中人物的服装替换为参考图像中显示的目标服装。保持人物的姿势、面部表情、背景和整体真实感不变。让新服装看起来自然、合身，并与光线和阴影保持一致。不要改变人物的身份或环境——只改变衣服
 多视图结果生成,nano075.jpg,** 需上传参考图像,在白色背景上生成前、后、左、右、上、下视图。均匀分布。一致的主体。等距透视等效
 电影分镜,nano076.jpg,** 需上传参考图像,用这两个角色创作一个令人上瘾的12部分故事，包含12张图像，讲述经典的黑色电影侦探故事。故事关于他们寻找线索并最终发现的失落的宝藏。整个故事充满刺激，有情感的高潮和低谷，以精彩的转折和高潮结尾。不要在图像中包含任何文字或文本，纯粹通过图像本身讲述故事
 人物姿势修改,nano077.jpg,** 需上传参考图像,让图片中的人直视前方
 线稿图生成图像,nano078.jpg,** 需上传线稿图和参考图像,将图一人物换成图二姿势，专业摄影棚拍摄
 为图像添加水印,nano079.jpg,** 需上传参考图像,在整个图片上反复覆盖“TRUMP”这个词。
 知识推理生成图像,nano080.jpg,无,为我制作一张世界五座最高建筑的信息图 / 制作一张关于地球上最甜蜜事物的彩色信息图
 红笔批注,nano081.jpg,** 需上传参考图像,分析这张图片。用红笔标出你可以改进的地方。
 爆炸的食物,nano082.jpg,** 需上传参考图像,在具有戏剧性的现代场景中拍摄该产品，并伴随着爆炸性的向外动态排列，主要成分新鲜和原始在产品周围飞舞，表明其新鲜度和营养价值。促销广告镜头，没有文字，强调产品，以关键品牌颜色作为背景。
 制作漫画书,nano083.jpg,** 需上传参考图像,基于上传的图像，制作漫画书条幅，添加文字，写一个引人入胜的故事。我想要一本奇幻漫画书。
 动作人偶,nano084.jpg,** 需上传参考图像,制作一个写着 [“AI Evangelist - Kris”] 的动作人偶，并包含 [咖啡、乌龟、笔记本电脑、手机和耳机] 。
 地图生成等距建筑,nano085.jpg,** 需上传地图的参考图像,以这个位置为地标，将其设为等距图像（仅建筑物），采用游戏主题公园的风格
 参考图控制人物表情,nano086.jpg,** 需上传一张人物参考图和一张表情参考图,图一人物参考/换成图二人物的表情
 插画绘画过程四格,nano087.jpg,** 需上传一张人物参考图像,为人物生成绘画过程四宫格，第一步：线稿，第二步平铺颜色，第三步：增加阴影，第四步：细化成型。不要文字
 虚拟试妆,nano088.jpg,** 需上传一张人物参考图像和一张妆造参考图片,为图一人物化上图二的妆，还保持图一的姿势
 妆面分析,nano089.jpg,** 需上传一张人物参考图像,"分析这张图片。用红笔标出可以改进的地方
Analyze this image. Use red pen to denote where you can improve"
 Google地图视角下的中土世界,nano090.jpg,无,行车记录仪谷歌街景拍摄 | [霍比屯街道] | [霍比特人进行园艺和抽烟斗等日常活动] | [晴天]
 印刷插画生成,nano091.jpg,无,仅使用短语 [“riding a bike”] 中的字母，创作一幅极简主义的黑白印刷插图，描绘骑自行车的场景。每个字母的形状和位置都应富有创意，以构成骑车人、自行车和动感。设计应简洁、极简，完全由修改后的 [“riding a bike”] 字母组成，不添加任何额外的形状或线条。字母应流畅或弯曲，以模仿场景的自然形态，同时保持清晰易读。
 超多人物姿势生成,nano092.jpg,** 需上传一张人物参考图像,请为这幅插图创建一个姿势表，摆出各种姿势
 物品包装生成,nano093.jpg,** 需上传一张物品参考图像和一张包装参考图片,把图一贴在图二易拉罐上，并放在极简设计的布景中，专业摄影
 叠加滤镜/材质,nano094.jpg,** 需上传一张参考图像和一张滤镜/材质参考图片,为图一照片叠加上图二 [玻璃] 的效果
 控制人物脸型,nano095.jpg,** 需上传一张参考图像和一张脸型参考图片,图一人物按照图二的脸型设计为q版形象
 光影控制,nano096.jpg,** 需上传一张参考图像和一张光影参考图片,图一人物变成图二光影，深色为暗
 乐高玩具小人,nano097.jpg,** 需上传一张参考图像,将照片中的人物转化为乐高小人包装盒的风格，以等距透视呈现。在包装盒上标注标题“ZHOGUE”。在盒内展示基于照片中人物的乐高小人，并配有他们必需的物品（如化妆品、包或其他物品）作为乐高配件。在盒子旁边，也展示实际乐高小人本身，未包装，以逼真且生动的方式渲染。
 高达模型小人,nano098.jpg,** 需上传一张参考图像,将照片中的人物转化为高达模型套件包装盒的风格，以等距透视呈现。在包装盒上标注标题“ZHOGUE”。在盒内展示照片中人物的高达风格机械人版本，并伴随其必需品（如化妆品、包袋或其他物品）重新设计为未来派机械配件。包装盒应类似真实的 Gunpla 盒子，包含技术插图、说明书风格细节和科幻字体。在盒子旁边，也展示实际的高达风格机械人本身，在包装外以逼真且栩栩如生的风格渲染，类似于官方 Bandai 宣传渲染图。
